run_id,data encoded,K/K(interval i),lr,data,name,seed,trainer,data_dir,val_size,callbacks,framework,batch_size,model_name,model_cache,num_workers,min_data_size,data_increment,learn_embeddings,scramble_data_by,short_vocab_size,val_train_shared,interval_patience,allow_final_overfit,interval_patience_tol,include_initial_length,data_increment_n_log_intervals
rv2lhkiw,1000,6269.4541015625,0.0001,,Prequential Coding - Natural Languages,0,,/network/scratch/e/eric.elmoznino/complexity_compositionality/data/real_languages/coco-captions/french/,10000,False,,250,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,,0,1000,,False,,,False,3,False,0.0001,True,15
rv2lhkiw,1535,3319.32275390625,0.0001,,Prequential Coding - Natural Languages,0,,/network/scratch/e/eric.elmoznino/complexity_compositionality/data/real_languages/coco-captions/french/,10000,False,,250,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,,0,1000,,False,,,False,3,False,0.0001,True,15
rv2lhkiw,2356,5176.3046875,0.0001,,Prequential Coding - Natural Languages,0,,/network/scratch/e/eric.elmoznino/complexity_compositionality/data/real_languages/coco-captions/french/,10000,False,,250,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,,0,1000,,False,,,False,3,False,0.0001,True,15
rv2lhkiw,3618,4883.28271484375,0.0001,,Prequential Coding - Natural Languages,0,,/network/scratch/e/eric.elmoznino/complexity_compositionality/data/real_languages/coco-captions/french/,10000,False,,250,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,,0,1000,,False,,,False,3,False,0.0001,True,15
rv2lhkiw,5554,6371.71142578125,0.0001,,Prequential Coding - Natural Languages,0,,/network/scratch/e/eric.elmoznino/complexity_compositionality/data/real_languages/coco-captions/french/,10000,False,,250,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,,0,1000,,False,,,False,3,False,0.0001,True,15
rv2lhkiw,8527,9838.0888671875,0.0001,,Prequential Coding - Natural Languages,0,,/network/scratch/e/eric.elmoznino/complexity_compositionality/data/real_languages/coco-captions/french/,10000,False,,250,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,,0,1000,,False,,,False,3,False,0.0001,True,15
rv2lhkiw,13092,10361.8720703125,0.0001,,Prequential Coding - Natural Languages,0,,/network/scratch/e/eric.elmoznino/complexity_compositionality/data/real_languages/coco-captions/french/,10000,False,,250,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,,0,1000,,False,,,False,3,False,0.0001,True,15
rv2lhkiw,20099,12307.75,0.0001,,Prequential Coding - Natural Languages,0,,/network/scratch/e/eric.elmoznino/complexity_compositionality/data/real_languages/coco-captions/french/,10000,False,,250,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,,0,1000,,False,,,False,3,False,0.0001,True,15
rv2lhkiw,30856,16065.013671875,0.0001,,Prequential Coding - Natural Languages,0,,/network/scratch/e/eric.elmoznino/complexity_compositionality/data/real_languages/coco-captions/french/,10000,False,,250,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,,0,1000,,False,,,False,3,False,0.0001,True,15
rv2lhkiw,47371,18976.380859375,0.0001,,Prequential Coding - Natural Languages,0,,/network/scratch/e/eric.elmoznino/complexity_compositionality/data/real_languages/coco-captions/french/,10000,False,,250,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,,0,1000,,False,,,False,3,False,0.0001,True,15
rv2lhkiw,72725,22517.23828125,0.0001,,Prequential Coding - Natural Languages,0,,/network/scratch/e/eric.elmoznino/complexity_compositionality/data/real_languages/coco-captions/french/,10000,False,,250,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,,0,1000,,False,,,False,3,False,0.0001,True,15
rv2lhkiw,111649,28200.33984375,0.0001,,Prequential Coding - Natural Languages,0,,/network/scratch/e/eric.elmoznino/complexity_compositionality/data/real_languages/coco-captions/french/,10000,False,,250,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,,0,1000,,False,,,False,3,False,0.0001,True,15
rv2lhkiw,171405,36106.87109375,0.0001,,Prequential Coding - Natural Languages,0,,/network/scratch/e/eric.elmoznino/complexity_compositionality/data/real_languages/coco-captions/french/,10000,False,,250,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,,0,1000,,False,,,False,3,False,0.0001,True,15
rv2lhkiw,263143,41813.86328125,0.0001,,Prequential Coding - Natural Languages,0,,/network/scratch/e/eric.elmoznino/complexity_compositionality/data/real_languages/coco-captions/french/,10000,False,,250,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,,0,1000,,False,,,False,3,False,0.0001,True,15
rv2lhkiw,403981,53217.484375,0.0001,,Prequential Coding - Natural Languages,0,,/network/scratch/e/eric.elmoznino/complexity_compositionality/data/real_languages/coco-captions/french/,10000,False,,250,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,,0,1000,,False,,,False,3,False,0.0001,True,15
zqmc0w61,1000,8406.7099609375,0.0001,,Prequential Coding - Natural Languages,0,,/network/scratch/e/eric.elmoznino/complexity_compositionality/data/real_languages/coco-captions/english/,10000,False,,250,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,,0,1000,,False,,,False,3,False,0.0001,True,15
zqmc0w61,1535,4077.65380859375,0.0001,,Prequential Coding - Natural Languages,0,,/network/scratch/e/eric.elmoznino/complexity_compositionality/data/real_languages/coco-captions/english/,10000,False,,250,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,,0,1000,,False,,,False,3,False,0.0001,True,15
zqmc0w61,2356,5199.90283203125,0.0001,,Prequential Coding - Natural Languages,0,,/network/scratch/e/eric.elmoznino/complexity_compositionality/data/real_languages/coco-captions/english/,10000,False,,250,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,,0,1000,,False,,,False,3,False,0.0001,True,15
zqmc0w61,3618,6322.2158203125,0.0001,,Prequential Coding - Natural Languages,0,,/network/scratch/e/eric.elmoznino/complexity_compositionality/data/real_languages/coco-captions/english/,10000,False,,250,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,,0,1000,,False,,,False,3,False,0.0001,True,15
zqmc0w61,5554,8110.03369140625,0.0001,,Prequential Coding - Natural Languages,0,,/network/scratch/e/eric.elmoznino/complexity_compositionality/data/real_languages/coco-captions/english/,10000,False,,250,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,,0,1000,,False,,,False,3,False,0.0001,True,15
zqmc0w61,8527,10143.2890625,0.0001,,Prequential Coding - Natural Languages,0,,/network/scratch/e/eric.elmoznino/complexity_compositionality/data/real_languages/coco-captions/english/,10000,False,,250,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,,0,1000,,False,,,False,3,False,0.0001,True,15
zqmc0w61,13092,11964.5478515625,0.0001,,Prequential Coding - Natural Languages,0,,/network/scratch/e/eric.elmoznino/complexity_compositionality/data/real_languages/coco-captions/english/,10000,False,,250,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,,0,1000,,False,,,False,3,False,0.0001,True,15
zqmc0w61,20099,14098.89453125,0.0001,,Prequential Coding - Natural Languages,0,,/network/scratch/e/eric.elmoznino/complexity_compositionality/data/real_languages/coco-captions/english/,10000,False,,250,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,,0,1000,,False,,,False,3,False,0.0001,True,15
zqmc0w61,30856,18149.857421875,0.0001,,Prequential Coding - Natural Languages,0,,/network/scratch/e/eric.elmoznino/complexity_compositionality/data/real_languages/coco-captions/english/,10000,False,,250,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,,0,1000,,False,,,False,3,False,0.0001,True,15
zqmc0w61,47371,23381.9296875,0.0001,,Prequential Coding - Natural Languages,0,,/network/scratch/e/eric.elmoznino/complexity_compositionality/data/real_languages/coco-captions/english/,10000,False,,250,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,,0,1000,,False,,,False,3,False,0.0001,True,15
zqmc0w61,72725,28438.068359375,0.0001,,Prequential Coding - Natural Languages,0,,/network/scratch/e/eric.elmoznino/complexity_compositionality/data/real_languages/coco-captions/english/,10000,False,,250,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,,0,1000,,False,,,False,3,False,0.0001,True,15
zqmc0w61,111649,33970.7109375,0.0001,,Prequential Coding - Natural Languages,0,,/network/scratch/e/eric.elmoznino/complexity_compositionality/data/real_languages/coco-captions/english/,10000,False,,250,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,,0,1000,,False,,,False,3,False,0.0001,True,15
zqmc0w61,171405,41775.2734375,0.0001,,Prequential Coding - Natural Languages,0,,/network/scratch/e/eric.elmoznino/complexity_compositionality/data/real_languages/coco-captions/english/,10000,False,,250,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,,0,1000,,False,,,False,3,False,0.0001,True,15
zqmc0w61,263143,49338.2109375,0.0001,,Prequential Coding - Natural Languages,0,,/network/scratch/e/eric.elmoznino/complexity_compositionality/data/real_languages/coco-captions/english/,10000,False,,250,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,,0,1000,,False,,,False,3,False,0.0001,True,15
zqmc0w61,403981,56221.6484375,0.0001,,Prequential Coding - Natural Languages,0,,/network/scratch/e/eric.elmoznino/complexity_compositionality/data/real_languages/coco-captions/english/,10000,False,,250,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,,0,1000,,False,,,False,3,False,0.0001,True,15
2mcfkg5o,1000,6074.4150390625,0.0001,,Prequential Coding - Natural Languages,1,,/network/scratch/e/eric.elmoznino/complexity_compositionality/data/real_languages/coco-captions/german/,10000,False,,250,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,,0,1000,,False,,,False,3,False,0.0001,True,15
2mcfkg5o,1535,3239.286865234375,0.0001,,Prequential Coding - Natural Languages,1,,/network/scratch/e/eric.elmoznino/complexity_compositionality/data/real_languages/coco-captions/german/,10000,False,,250,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,,0,1000,,False,,,False,3,False,0.0001,True,15
2mcfkg5o,2356,4706.6689453125,0.0001,,Prequential Coding - Natural Languages,1,,/network/scratch/e/eric.elmoznino/complexity_compositionality/data/real_languages/coco-captions/german/,10000,False,,250,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,,0,1000,,False,,,False,3,False,0.0001,True,15
2mcfkg5o,3618,7667.29443359375,0.0001,,Prequential Coding - Natural Languages,1,,/network/scratch/e/eric.elmoznino/complexity_compositionality/data/real_languages/coco-captions/german/,10000,False,,250,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,,0,1000,,False,,,False,3,False,0.0001,True,15
2mcfkg5o,5554,6878.31494140625,0.0001,,Prequential Coding - Natural Languages,1,,/network/scratch/e/eric.elmoznino/complexity_compositionality/data/real_languages/coco-captions/german/,10000,False,,250,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,,0,1000,,False,,,False,3,False,0.0001,True,15
2mcfkg5o,8527,9449.9638671875,0.0001,,Prequential Coding - Natural Languages,1,,/network/scratch/e/eric.elmoznino/complexity_compositionality/data/real_languages/coco-captions/german/,10000,False,,250,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,,0,1000,,False,,,False,3,False,0.0001,True,15
2mcfkg5o,13092,11721.431640625,0.0001,,Prequential Coding - Natural Languages,1,,/network/scratch/e/eric.elmoznino/complexity_compositionality/data/real_languages/coco-captions/german/,10000,False,,250,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,,0,1000,,False,,,False,3,False,0.0001,True,15
2mcfkg5o,20099,14820.1689453125,0.0001,,Prequential Coding - Natural Languages,1,,/network/scratch/e/eric.elmoznino/complexity_compositionality/data/real_languages/coco-captions/german/,10000,False,,250,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,,0,1000,,False,,,False,3,False,0.0001,True,15
2mcfkg5o,30856,17070.087890625,0.0001,,Prequential Coding - Natural Languages,1,,/network/scratch/e/eric.elmoznino/complexity_compositionality/data/real_languages/coco-captions/german/,10000,False,,250,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,,0,1000,,False,,,False,3,False,0.0001,True,15
2mcfkg5o,47371,19877.46484375,0.0001,,Prequential Coding - Natural Languages,1,,/network/scratch/e/eric.elmoznino/complexity_compositionality/data/real_languages/coco-captions/german/,10000,False,,250,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,,0,1000,,False,,,False,3,False,0.0001,True,15
2mcfkg5o,72725,23645.390625,0.0001,,Prequential Coding - Natural Languages,1,,/network/scratch/e/eric.elmoznino/complexity_compositionality/data/real_languages/coco-captions/german/,10000,False,,250,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,,0,1000,,False,,,False,3,False,0.0001,True,15
2mcfkg5o,111649,29842.373046875,0.0001,,Prequential Coding - Natural Languages,1,,/network/scratch/e/eric.elmoznino/complexity_compositionality/data/real_languages/coco-captions/german/,10000,False,,250,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,,0,1000,,False,,,False,3,False,0.0001,True,15
2mcfkg5o,171405,38075.9921875,0.0001,,Prequential Coding - Natural Languages,1,,/network/scratch/e/eric.elmoznino/complexity_compositionality/data/real_languages/coco-captions/german/,10000,False,,250,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,,0,1000,,False,,,False,3,False,0.0001,True,15
2mcfkg5o,263143,43919.34375,0.0001,,Prequential Coding - Natural Languages,1,,/network/scratch/e/eric.elmoznino/complexity_compositionality/data/real_languages/coco-captions/german/,10000,False,,250,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,,0,1000,,False,,,False,3,False,0.0001,True,15
2mcfkg5o,403981,50363.53515625,0.0001,,Prequential Coding - Natural Languages,1,,/network/scratch/e/eric.elmoznino/complexity_compositionality/data/real_languages/coco-captions/german/,10000,False,,250,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,,0,1000,,False,,,False,3,False,0.0001,True,15
4dh7vr65,1000,6796.9111328125,0.0001,,Prequential Coding - Natural Languages,0,,/network/scratch/e/eric.elmoznino/complexity_compositionality/data/real_languages/coco-captions/spanish/,10000,False,,250,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,,0,1000,,False,,,False,3,False,0.0001,True,15
4dh7vr65,1535,3643.2412109375,0.0001,,Prequential Coding - Natural Languages,0,,/network/scratch/e/eric.elmoznino/complexity_compositionality/data/real_languages/coco-captions/spanish/,10000,False,,250,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,,0,1000,,False,,,False,3,False,0.0001,True,15
4dh7vr65,2356,4073.91162109375,0.0001,,Prequential Coding - Natural Languages,0,,/network/scratch/e/eric.elmoznino/complexity_compositionality/data/real_languages/coco-captions/spanish/,10000,False,,250,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,,0,1000,,False,,,False,3,False,0.0001,True,15
4dh7vr65,3618,5194.673828125,0.0001,,Prequential Coding - Natural Languages,0,,/network/scratch/e/eric.elmoznino/complexity_compositionality/data/real_languages/coco-captions/spanish/,10000,False,,250,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,,0,1000,,False,,,False,3,False,0.0001,True,15
4dh7vr65,5554,7635.8251953125,0.0001,,Prequential Coding - Natural Languages,0,,/network/scratch/e/eric.elmoznino/complexity_compositionality/data/real_languages/coco-captions/spanish/,10000,False,,250,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,,0,1000,,False,,,False,3,False,0.0001,True,15
4dh7vr65,8527,8872.0458984375,0.0001,,Prequential Coding - Natural Languages,0,,/network/scratch/e/eric.elmoznino/complexity_compositionality/data/real_languages/coco-captions/spanish/,10000,False,,250,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,,0,1000,,False,,,False,3,False,0.0001,True,15
4dh7vr65,13092,13656.5068359375,0.0001,,Prequential Coding - Natural Languages,0,,/network/scratch/e/eric.elmoznino/complexity_compositionality/data/real_languages/coco-captions/spanish/,10000,False,,250,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,,0,1000,,False,,,False,3,False,0.0001,True,15
4dh7vr65,20099,13822.34375,0.0001,,Prequential Coding - Natural Languages,0,,/network/scratch/e/eric.elmoznino/complexity_compositionality/data/real_languages/coco-captions/spanish/,10000,False,,250,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,,0,1000,,False,,,False,3,False,0.0001,True,15
4dh7vr65,30856,15793.2705078125,0.0001,,Prequential Coding - Natural Languages,0,,/network/scratch/e/eric.elmoznino/complexity_compositionality/data/real_languages/coco-captions/spanish/,10000,False,,250,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,,0,1000,,False,,,False,3,False,0.0001,True,15
4dh7vr65,47371,19855.138671875,0.0001,,Prequential Coding - Natural Languages,0,,/network/scratch/e/eric.elmoznino/complexity_compositionality/data/real_languages/coco-captions/spanish/,10000,False,,250,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,,0,1000,,False,,,False,3,False,0.0001,True,15
4dh7vr65,72725,24580.078125,0.0001,,Prequential Coding - Natural Languages,0,,/network/scratch/e/eric.elmoznino/complexity_compositionality/data/real_languages/coco-captions/spanish/,10000,False,,250,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,,0,1000,,False,,,False,3,False,0.0001,True,15
4dh7vr65,111649,27967.37890625,0.0001,,Prequential Coding - Natural Languages,0,,/network/scratch/e/eric.elmoznino/complexity_compositionality/data/real_languages/coco-captions/spanish/,10000,False,,250,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,,0,1000,,False,,,False,3,False,0.0001,True,15
4dh7vr65,171405,41712.734375,0.0001,,Prequential Coding - Natural Languages,0,,/network/scratch/e/eric.elmoznino/complexity_compositionality/data/real_languages/coco-captions/spanish/,10000,False,,250,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,,0,1000,,False,,,False,3,False,0.0001,True,15
4dh7vr65,263143,44779.73828125,0.0001,,Prequential Coding - Natural Languages,0,,/network/scratch/e/eric.elmoznino/complexity_compositionality/data/real_languages/coco-captions/spanish/,10000,False,,250,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,,0,1000,,False,,,False,3,False,0.0001,True,15
4dh7vr65,403981,57899.9609375,0.0001,,Prequential Coding - Natural Languages,0,,/network/scratch/e/eric.elmoznino/complexity_compositionality/data/real_languages/coco-captions/spanish/,10000,False,,250,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,,0,1000,,False,,,False,3,False,0.0001,True,15
6pm02fgv,1000,8431.2724609375,0.0001,,Prequential Coding - Natural Languages,1,,/network/scratch/e/eric.elmoznino/complexity_compositionality/data/real_languages/coco-captions/english/,10000,False,,250,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,,0,1000,,False,,,False,3,False,0.0001,True,15
6pm02fgv,1535,3655.27001953125,0.0001,,Prequential Coding - Natural Languages,1,,/network/scratch/e/eric.elmoznino/complexity_compositionality/data/real_languages/coco-captions/english/,10000,False,,250,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,,0,1000,,False,,,False,3,False,0.0001,True,15
6pm02fgv,2356,5071.55859375,0.0001,,Prequential Coding - Natural Languages,1,,/network/scratch/e/eric.elmoznino/complexity_compositionality/data/real_languages/coco-captions/english/,10000,False,,250,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,,0,1000,,False,,,False,3,False,0.0001,True,15
6pm02fgv,3618,6541.80810546875,0.0001,,Prequential Coding - Natural Languages,1,,/network/scratch/e/eric.elmoznino/complexity_compositionality/data/real_languages/coco-captions/english/,10000,False,,250,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,,0,1000,,False,,,False,3,False,0.0001,True,15
6pm02fgv,5554,8716.283203125,0.0001,,Prequential Coding - Natural Languages,1,,/network/scratch/e/eric.elmoznino/complexity_compositionality/data/real_languages/coco-captions/english/,10000,False,,250,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,,0,1000,,False,,,False,3,False,0.0001,True,15
6pm02fgv,8527,9595.6796875,0.0001,,Prequential Coding - Natural Languages,1,,/network/scratch/e/eric.elmoznino/complexity_compositionality/data/real_languages/coco-captions/english/,10000,False,,250,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,,0,1000,,False,,,False,3,False,0.0001,True,15
6pm02fgv,13092,12555.322265625,0.0001,,Prequential Coding - Natural Languages,1,,/network/scratch/e/eric.elmoznino/complexity_compositionality/data/real_languages/coco-captions/english/,10000,False,,250,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,,0,1000,,False,,,False,3,False,0.0001,True,15
6pm02fgv,20099,17325.861328125,0.0001,,Prequential Coding - Natural Languages,1,,/network/scratch/e/eric.elmoznino/complexity_compositionality/data/real_languages/coco-captions/english/,10000,False,,250,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,,0,1000,,False,,,False,3,False,0.0001,True,15
6pm02fgv,30856,19438.748046875,0.0001,,Prequential Coding - Natural Languages,1,,/network/scratch/e/eric.elmoznino/complexity_compositionality/data/real_languages/coco-captions/english/,10000,False,,250,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,,0,1000,,False,,,False,3,False,0.0001,True,15
6pm02fgv,47371,22550.337890625,0.0001,,Prequential Coding - Natural Languages,1,,/network/scratch/e/eric.elmoznino/complexity_compositionality/data/real_languages/coco-captions/english/,10000,False,,250,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,,0,1000,,False,,,False,3,False,0.0001,True,15
6pm02fgv,72725,29511.0,0.0001,,Prequential Coding - Natural Languages,1,,/network/scratch/e/eric.elmoznino/complexity_compositionality/data/real_languages/coco-captions/english/,10000,False,,250,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,,0,1000,,False,,,False,3,False,0.0001,True,15
6pm02fgv,111649,36316.7109375,0.0001,,Prequential Coding - Natural Languages,1,,/network/scratch/e/eric.elmoznino/complexity_compositionality/data/real_languages/coco-captions/english/,10000,False,,250,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,,0,1000,,False,,,False,3,False,0.0001,True,15
6pm02fgv,171405,46601.7109375,0.0001,,Prequential Coding - Natural Languages,1,,/network/scratch/e/eric.elmoznino/complexity_compositionality/data/real_languages/coco-captions/english/,10000,False,,250,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,,0,1000,,False,,,False,3,False,0.0001,True,15
6pm02fgv,263143,48536.93359375,0.0001,,Prequential Coding - Natural Languages,1,,/network/scratch/e/eric.elmoznino/complexity_compositionality/data/real_languages/coco-captions/english/,10000,False,,250,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,,0,1000,,False,,,False,3,False,0.0001,True,15
